Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Liechtenstein,,,,,,94.68,,,,95.68,,,,94.94,,,,95.56,,,,95.72,,,,95.39,,,,93.33,,,90.88,,,,87.54,,,,86.94,,,,86.72,,,,86.47,,,,84.63,,,,79.8,
Sri Lanka,,,,75.9,,,,,81.13,,,,,84.88,,,,,,,86.69,,,,,,,,,,,,63.59,,,,,76.24,,,,,,75.63,76.03,,,75.96,,,,,,61.26,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,62.32,,,,,81.9,,,,,,,,,,,,,,,,,,,,,,,72.28,,,,,71.83,,,,66.69,,,,,49,,,,,50.04,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.22,,,,52.92,,,,58.18,,,,46.04,,,,48.59,,,,52.93,,
Luxembourg,,,,,,,,90.57,,,,88.56,,,,,,90.14,,,,,88.85,,,,,88.81,,,,,87.39,,,,,88.3,,,,,86.51,,,,,91.68,,,,,90.93,,,,91.15,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2,,,89.88,,71.9,,,71.9,,,,71.17,,,,60.98,,,,64.72,59.49,,,58.8
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,85.34,,,,,,,82.36,,,,,,,67.43,,,,,,,,,62.75,,,,58.3,,,,,51.61,,,,,37,,,,45.4,,,
Monaco,,,,,,,,,,,,72.34,,,,,72.26,,,,,74.55,,,,,75.05,,,,,70.33,,,,,66.59,,,,,65.41,,,,,79.73,,,,,76.85,,,,,74.55,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.31,,,,69.12,,,69.96,,,,64.84,,,,58.77,63.37,,,,55.8
Madagascar,,,,,,,,,,,,,,94.77,,,,,,,,,,,,,72.75,,,,,,74.6,,,,60,,,,,60.13,,,,67.86,,,,,,,,,,,50.72,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.69,,,,,75.39,,,,,77.4,,,,,,71.29,,,,78.87,,,,,77.93
Middle East & North Africa (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,68.43,,,66.61,,,62.82,,,64.38,,,60.3,,,62.01,,,49.43,,,72.56,,,51.82,,,49.43,,,61.11,,,77.73,,,57.69,,,57.24,,,41.68,,,58.9,,,44.61,,,62.45,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.83,,,,50.46,,,,74.6,,,,55.98,,57.99,,,63.48,,,62.98
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.09,,,,,21.58,,,,,26,,,,,32.19,,,,,,37.24,
Malta,,,,,,90.77,,,,89.71,,,,,92.93,,,,,95,,,,,94.64,,,,,,96.11,,,,,96.04,,,,97.16,,95.4,,,,,95.7,,,,,93.3,,,,,92.95,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.33,,,,,,,,,,,,,,,,,,,,77.26,,,,
Middle East & North Africa (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.05,,,66.19,,,70.56,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,95.6,,,,88.39,,,,82.42,,,,81.84,,,,74.31,,,,65.24,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.89,,,,,68.09,,,,,36.34,,,,,44.44,,,,,48.84
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.86,,,,52.06,,,,,54.45,,,,,69.49,,,,,,,73.9,
